Publication,h5-index,h5-index link,h5-median
Nature,414,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=H--JoiVp8x8J.2021,607
The New England Journal of Medicine,410,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=IKEvlTw-e8IJ.2021,704
Science,391,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=oY2eER5-jTUJ.2021,564
IEEE/CVF Conference on Computer Vision and Pattern Recognition,356,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=FXe-a9w0eycJ.2021,583
The Lancet,345,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=dj7TIF9zE7gJ.2021,600
Advanced Materials,294,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=iGi98NXoUDsJ.2021,406
Cell,288,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=VlyKmNJzCgkJ.2021,459
Nature Communications,287,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YEzjG67_QZIJ.2021,389
Chemical Reviews,270,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=uv6tiIhlWM8J.2021,434
International Conference on Learning Representations,253,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=0032SoU2xY4J.2021,470
JAMA,253,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=OmPdUD0HxiAJ.2021,446
Neural Information Processing Systems,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=eqYFflc_uhEJ.2021,422
Proceedings of the National Academy of Sciences,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=5RY_PS94Oc4J.2021,337
Journal of the American Chemical Society,245,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=SwzN8j-L5pcJ.2021,330
Angewandte Chemie,235,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=kGPhuITsJjEJ.2021,314
Chemical Society Reviews,234,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=UJChSoIuvTUJ.2021,339
Nucleic Acids Research,233,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=R9lVUK9iDeEJ.2021,512
Renewable and Sustainable Energy Reviews,225,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ZSbkjLcARiEJ.2021,294
Journal of Clinical Oncology,213,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ecHF5oQilegJ.2021,297
Physical Review Letters,209,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=k6hd2dUel5kJ.2021,297
Advanced Energy Materials,206,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=w0MXM7xwO6EJ.2021,267
Nature Medicine,205,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=WMiBWggej_gJ.2021,356
International Conference on Machine Learning,204,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=wL2oxc9mT4YJ.2021,370
Energy & Environmental Science,202,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=SBb1EorUeGIJ.2021,306
ACS Nano,202,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=LlbEG8dwKzQJ.2021,265
Scientific Reports,200,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=4iSd_wSzmosJ.2021,262
European Conference on Computer Vision,197,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=cwIh2C-xo8kJ.2021,342
The Lancet Oncology,196,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=xO04yUCWFMsJ.2021,318
Advanced Functional Materials,189,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=49-WwfyYHmkJ.2021,250
PLoS ONE,185,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ikn7EegrlaAJ.2021,246
IEEE/CVF International Conference on Computer Vision,184,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Umlb1kMURG4J.2021,311
Nature Genetics,184,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=jTa5bn_Vy5gJ.2021,273
Journal of Cleaner Production,182,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=tYeMgWz27P4J.2021,245
Nature Materials,181,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=qDk_w5lWaUIJ.2021,313
Science of The Total Environment,180,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=zHYLxfa9svsJ.2021,244
Circulation,176,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=wTjLJ-HBjrYJ.2021,284
BMJ,175,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=aUkdNLROwn8J.2021,286
Journal of the American College of Cardiology,175,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=xYLghxaa8FcJ.2021,255
Applied Catalysis B: Environmental,175,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=c9uks1oR5n4J.2021,218
Science Advances,174,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=4Y_HB2IUpckJ.2021,250
Nano Letters,173,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=N-tBBiwlGDsJ.2021,234
Nature Energy,171,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=cfU9-VnFg7MJ.2021,306
ACS Applied Materials & Interfaces,169,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=AWVyEJdRWZAJ.2021,202
Journal of Materials Chemistry A,166,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=BteXzRNhMa4J.2021,205
IEEE Access,164,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ccvNpBuUinsJ.2021,233
Nature Biotechnology,163,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=d4fTNLVMoAsJ.2021,276
Nano Energy,162,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=VnRGJcx2SzEJ.2021,218
Nature Methods,161,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Qq1AZ4GL_n8J.2021,265
Nature Nanotechnology,161,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=nGsYFxF7AIcJ.2021,257
Cochrane Database of Systematic Reviews,161,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=w5Wxt0JuBUYJ.2021,244
The Astrophysical Journal,161,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=kLu-gHHm-yoJ.2021,239
The Lancet Infectious Diseases,160,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Cw6YFRBewwIJ.2021,244
Applied Energy,160,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YEgmRIvqc-sJ.2021,203
European Heart Journal,159,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=nzv6ligyWB4J.2021,252
Blood,159,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=MQG5QwakzOcJ.2021,212
American Economic Review,158,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=JdmuJJQqBKkJ.2021,246
Immunity,158,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Psc9Ho3-rx8J.2021,237
Meeting of the Association for Computational Linguistics (ACL),157,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2021,265
AAAI Conference on Artificial Intelligence,157,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=PV9sQN5dnPsJ.2021,240
Gastroenterology,157,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=coh_9l_eLP4J.2021,229
Neuron,157,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=pbEUc7Yi4KkJ.2021,219
Journal of High Energy Physics,157,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YsyE7AUs20UJ.2021,217
IEEE Communications Surveys & Tutorials,156,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=-k2gflKSnewJ.2021,253
Nature Neuroscience,156,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=H9bbi2SG9vcJ.2021,235
Computers in Human Behavior,155,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=N8OFJny_66QJ.2021,235
Chemical engineering journal,154,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=NDSEyFw9R_kJ.2021,193
ACS Catalysis,153,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=HY38J6diLbEJ.2021,219
Nature Reviews. Molecular Cell Biology,150,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=tDL8ac27TMgJ.2021,284
International Journal of Molecular Sciences,150,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YlxNGrUs9ywJ.2021,210
IEEE Transactions on Pattern Analysis and Machine Intelligence,149,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=FMIcylNwodUJ.2021,275
Environmental Science & Technology,149,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=-AYGASySECUJ.2021,202
Monthly Notices of the Royal Astronomical Society,149,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=1psIsUvUvtgJ.2021,190
Cell Metabolism,148,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=zMrP9W20roUJ.2021,219
Nature Physics,147,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=ouAzwbN82bMJ.2021,210
Physical Review D,147,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=BDbZY07nj-oJ.2021,205
Accounts of Chemical Research,146,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=K8RN_gM9eDsJ.2021,222
Nature Photonics,144,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=iSeY9RQKcc8J.2021,230
Nature Climate Change,144,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=IFUPWd7_UnUJ.2021,222
Chemistry of Materials,144,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=dae-N_FKryUJ.2021,187
Molecular Cell,143,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=mP0ixsjOxMUJ.2021,198
Clinical Infectious Diseases,142,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=fBR8hym4NqEJ.2021,251
Morbidity and Mortality Weekly Report,141,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=lQDQnfzoTboJ.2021,274
Nature Reviews Immunology,141,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=JAoASYWHSYEJ.2021,257
Gut,141,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=8boGrBcAQRIJ.2021,211
Annals of Oncology,141,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=YKYgGM0Tw8gJ.2021,205
Cell Reports,141,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=u0OhSowAd3cJ.2021,183
Journal of Business Research,140,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=r_ClXCa7Zg8J.2021,199
Clinical Cancer Research,140,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=zh7nnyKb8kcJ.2021,187
Frontiers in Microbiology,139,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=FkpXCKiDIicJ.2021,196
Journal of Hepatology,138,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=iK8gmwcDNNgJ.2021,226
eLife,137,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=o8O5XjeZCzQJ.2021,182
Bioinformatics,136,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=JTjjOfmvzpAJ.2021,218
The Journal of Clinical Investigation,135,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=M7Yzh7rFoeIJ.2021,197
Science Translational Medicine,134,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=gWeVAMr7owsJ.2021,192
Water Research,134,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=enMZMDSVb-UJ.2021,188
Frontiers in Immunology,134,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=EEUzcltKgUUJ.2021,177
Small,134,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=jRwmKwTCl7oJ.2021,173
Nature Immunology,133,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=-VpM5T5Bk6IJ.2021,210
JAMA Oncology,133,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=94iqVav2aLQJ.2021,202
The Lancet Neurology,133,https://scholar.google.com//citations?hl=en&vq=en&view_op=list_hcore&venue=u3nP_Ymfy5UJ.2021,200
